movie,genre,synopsis,year,rate,duration,votes,popularity
Sexy Beast,Crime|Thriller,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",2000,7.3,89,44469,2800.0
You Can Count on Me,Drama,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",2000,7.7,111,23102,1922.0
The Watcher,Crime|Horror|Mystery,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ... See full summary »",2000,5.3,97,22568,2819.0
Bring It On,Comedy|Romance|Sport,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,2000,5.9,98,71924,1386.0
Children of Men,Drama|Sci-Fi|Thriller,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2006,7.9,109,374207,581.0
What Women Want,Comedy|Fantasy|Romance,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",2000,6.4,127,163233,2292.0
Snatch,Comedy|Crime,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,8.3,102,623296,307.0
The Contender,Drama|Thriller,"Senator Laine Hanson is a contender for US Vice President, but information and disinformation about her past surfaces that threatens to de-rail her confirmation.",2000,7.0,126,20825,
Everybody's Famous!,Comedy|Drama|Music,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and ... See full summary И",2000,7.0,97,2837,
Ken Park,Drama,Ken Park is about several Californian skateboarders' lives and relationships with and without their parents.,2002,5.9,93,25403,2211.0
Memento,Mystery|Thriller,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,2000,8.5,113,879688,441.0
The Mummy Returns,Action|Adventure|Fantasy,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",2001,6.3,130,253782,1091.0
"Wedding Planner - verliebt, verlobt, verplant",Comedy|Romance,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,2001,5.2,103,63095,2415.0
The Cell,Horror|Sci-Fi|Thriller,"An FBI agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.",2000,6.3,107,81554,982.0
Remember the Titans,Biography|Drama|Sport,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,2000,7.8,113,165555,767.0
102 Dalmatians,Adventure|Comedy|Family,Cruella DeVil gets out of prison and goes after them darned puppies once more.,2000,4.8,100,27364,
Jason X,Action|Horror|Sci-Fi,"Jason Voorhees returns with a new look, a new machete, and his same murderous attitude as he is awakened on a spaceship in the 25th century.",2001,4.4,91,40185,1425.0
AmЋlie,Comedy|Romance,"AmЋlie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",2001,8.4,122,559498,680.0
Meet the Parents,Comedy|Romance,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",2000,7.0,108,267609,2322.0
Miss Congeniality,Action|Comedy|Crime,An FBI agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,2000,6.2,109,142566,1384.0
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",2001,7.1,146,245306,1157.0
Hannibal,Crime|Drama|Thriller,"Living in exile, Hannibal Lecter tries to reconnect with now disgraced FBI agent Clarice Starling and finds himself a target for revenge from a powerful victim.",2001,6.8,131,213634,896.0
